character,gt_count,pred_count,ratio_pred_to_gt
-,17,0,0.0
ஃ,28,11,0.39285714285714285
அ,824,816,0.9902912621359223
ஆ,296,297,1.0033783783783783
இ,554,538,0.9711191335740073
ஈ,17,14,0.8235294117647058
உ,357,347,0.9719887955182073
ஊ,52,51,0.9807692307692307
எ,365,345,0.9452054794520548
ஏ,95,81,0.8526315789473684
ஐ,44,30,0.6818181818181818
ஒ,140,112,0.8
ஓ,60,79,1.3166666666666667
க,9487,8360,0.8812058606514177
ங,655,575,0.8778625954198473
ச,2688,2327,0.8656994047619048
ஜ,209,225,1.076555023923445
ஞ,133,112,0.8421052631578947
ட,5004,4119,0.8231414868105515
ண,1156,882,0.7629757785467128
த,8150,7054,0.865521472392638
ந,1692,1511,0.8930260047281324
ன,3412,2749,0.8056858147713951
ப,5219,4450,0.8526537650890975
ம,4370,4482,1.025629290617849
ய,3073,2498,0.812886430198503
ர,4690,3891,0.829637526652452
ற,2390,1941,0.8121338912133891
ல,3370,2661,0.7896142433234421
ள,2579,2006,0.7778208607987592
ழ,614,548,0.8925081433224755
வ,3865,3391,0.8773609314359638
ஶ,1,0,0.0
ஷ,115,72,0.6260869565217392
ஸ,324,207,0.6388888888888888
ஹ,82,73,0.8902439024390244
ா,5004,4042,0.8077537969624301
ி,8400,6748,0.8033333333333333
ீ,478,379,0.7928870292887029
ு,7841,6697,0.8541002423160311
ூ,451,345,0.7649667405764967
ெ,979,780,0.7967313585291114
ே,1162,1034,0.8898450946643718
ை,2896,2558,0.8832872928176796
ொ,727,597,0.8211829436038515
ோ,996,713,0.7158634538152611
ௌ,3,1,0.3333333333333333
்,19142,18269,0.9543934803050883
ௗ,1,0,0.0
௨,1,1,1.0
௩,1,1,1.0
௫,1,0,0.0
௬,1,1,1.0
௮,0,1,inf
௱,1,1,1.0
௳,0,8,inf
௵,2,2,1.0
௶,2,2,1.0
௸,0,1,inf
௹,2,1,0.5
