target_length,sample_count,percentage
1,13024,10.302248870818469
2,36007,28.482269279143168
3,1132,0.8954350216344062
4,4358,3.4472666292250373
5,3801,3.0066683014420303
6,6462,5.111573418552591
7,7858,6.215837809190075
8,9123,7.2164785356631524
9,8165,6.458681052689864
10,8115,6.419130035833222
11,6454,5.105245255855529
12,5858,4.633797134924339
13,4561,3.6078437576630096
14,3399,2.6886781259146173
15,2377,1.8802553413648264
16,1940,1.5345794540377633
17,1085,0.8582570657891614
18,880,0.6960978966769236
19,549,0.43427016508594435
20,425,0.33618364328146877
21,297,0.23493304012846167
22,158,0.12498121326699309
23,189,0.14950284371811198
24,55,0.04350611854230772
25,35,0.027685711799650365
26,40,0.0316408134853147
27,33,0.02610367112538463
28,7,0.005537142359930074
29,15,0.011865305056993016
30,10,0.007910203371328675
31,0,0.0
32,7,0.005537142359930074
