epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,18.290424346923828,15.18156623840332,0.9795615472220757,1.0,0.020438452777924332,0,0.0,1,1,1.0,0.0003,1.4196984767913818
2,126419,3.4718570017687913,3.097346571194567,0.8552151107993623,1.0,0.1447848892006377,0,96.08409989924245,6,6,2.89524055871702,0.0003,1070.2144136428833
3,126419,2.7964076969600034,3.0697438539552295,0.9613359609552106,1.0,0.03866403904478943,0,98.499948688286,23,66,1.109070529401621,0.0003,1161.9305143356323
4,126419,2.183183463788642,3.014886064634507,0.8527734302238354,1.0,0.14722656977616455,0,95.98847352315558,27,151,2.965942403862735,0.0003,1053.8876163959503
5,126419,1.9484618216398486,2.7717004702439323,0.779220836434765,0.9997413347128815,0.22077916356523497,0.0002586652871184869,94.9916268612158,42,1190,3.702966028625625,0.0003,1059.435292482376
6,126419,1.720776342871943,2.5091110595986863,0.6940921842592107,0.998534230039662,0.3059078157407893,0.0014657699603379815,94.20527484419898,46,3750,4.265821693395413,0.0003,1082.3297019004822
7,126419,1.5558596987478102,2.342112794723721,0.6388243426303963,0.9979306777030522,0.36117565736960366,0.0020693222969477842,93.86848341232228,51,4546,4.473702362476289,0.0003,1196.0962517261505
8,126419,1.4533584008516163,2.235643241687911,0.6148215857726758,0.9962062424555957,0.38517841422732424,0.0037937575444042526,93.78813393290294,56,5296,4.544145542334886,0.0003,1094.2616720199585
9,126419,1.3753874358633627,2.136590097889756,0.5952131687450922,0.9955164683566132,0.4047868312549078,0.004483531643386773,93.75769675709968,59,5524,4.577944473185032,0.0003,1080.7217407226562
10,126419,1.3205382316904832,2.0825485020629633,0.569819342597838,0.9956889118813589,0.43018065740216205,0.004311088118641115,93.1070875471135,55,6427,5.059665459561994,0.0003,1101.1870245933533
11,126419,1.2795329390070584,2.038740884830801,0.5742152391340856,0.9865494050698397,0.42578476086591444,0.01345059493016032,93.35676568272568,56,7228,4.873426452836696,0.0003,1193.3805804252625
