epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,19.022552490234375,15.2908353805542,1.0,1.0,0,0,0.0,1,1,1.0,0.0003,1.5578114986419678
2,126419,3.534052436486343,3.418652460923208,0.9467021930156228,1.0,0.05329780698437725,0,98.64746986602978,1,1,1.0,0.0003,7185.120518684387
3,126419,3.429215740113583,3.2997146467203606,0.9473633708704979,1.0,0.052636629129502066,0,98.64746986602978,2,2,1.0,0.0003,1576.09951710701
4,126419,3.22833091058299,3.0984552267825967,0.9436150729543838,1.0,0.05638492704561615,0,98.55930701197896,10,14,1.065183652353854,0.0003,1054.038914680481
5,126419,2.947684685449545,3.0599953392648827,0.8647498143218639,1.0,0.13525018567813607,0,96.27943426502966,13,27,2.750819106742542,0.0003,1062.2696483135223
6,126419,2.631427246116439,3.065738964343531,0.8520810465520436,1.0,0.14791895344795636,0,95.98450852707393,19,93,2.968873943783411,0.0003,993.4423630237579
7,126419,2.411096535100722,3.048455114206992,0.8729457741952118,1.0,0.1270542258047882,0,97.05470761652424,21,80,2.1776168304880152,0.0003,964.9410257339478
8,126419,2.267410476459367,3.02788000724204,0.8553023085219046,1.0,0.1446976914780954,0,96.74520468709183,20,62,2.406449387825487,0.0003,968.9159390926361
9,126419,2.187233132068129,3.0237251766457045,0.8489139133063371,1.0,0.15108608669366286,0,96.18602362204724,26,75,2.819882738403173,0.0003,1032.1801750659943
10,126419,2.1341377407410453,3.047894355022546,0.8628698729799814,0.9999137782376272,0.1371301270200186,8.622176237282897e-05,97.1361066537299,27,101,2.117434040351785,0.0003,1070.0612320899963
11,126419,2.1012643401274587,3.0187042278363356,0.8438808331765602,1.0,0.15611916682343985,0,96.21541124006418,26,115,2.7981548542852215,0.0003,996.1246736049652
12,126419,2.066202387813374,2.96463295579285,0.8383175367008386,1.0,0.16168246329916136,0,96.15243777288502,40,241,2.8438523883428175,0.0003,1007.4968545436859
13,126419,2.007678933277579,2.8081580948895333,0.8057396946068595,0.9997413347128815,0.19426030539314054,0.0002586652871184869,96.23325372243161,37,522,2.78496292464218,0.0003,1031.1050262451172
14,126419,1.9383565080645597,2.6522044452425533,0.7425916629312632,0.9993102259010174,0.2574083370687368,0.0006897740989826318,95.09763219763407,43,1208,3.623728229005001,0.0003,1131.6637694835663
15,126419,1.8707643115831247,2.566753041317312,0.7216610571904134,0.998534230039662,0.2783389428095866,0.0014657699603379815,95.05040209724969,44,2081,3.6588204862907396,0.0003,1037.9283924102783
16,126419,1.8200414639670648,2.484531868916241,0.7074247613557054,0.9981893429901707,0.2925752386442946,0.0018106570098292973,95.35512370787774,47,1935,3.4318848077254698,0.0003,1031.4746680259705
17,126419,1.7735883415846607,2.436657560101554,0.6635663682522368,0.9981031212277979,0.3364336317477632,0.0018968787722021263,94.30918106504458,47,3567,4.180634592171064,0.0003,1047.4211502075195
18,126419,1.7430146684286958,2.369243376839588,0.6709000187807962,0.9987066735644077,0.3290999812192038,0.0012933264355923235,94.84363921334477,46,2829,3.7919468873943782,0.0003,1131.3755903244019
19,126419,1.7126414297472463,2.3512972103991125,0.6704485817059643,0.9977582341783066,0.32955141829403567,0.002241765821693442,94.96060659775348,49,2613,3.7038282462493535,0.0003,997.0064797401428
20,126419,1.689645636808839,2.2801319804073366,0.6289830332968849,0.9976720124159337,0.3710169667031151,0.002327987584066271,94.16422547300071,52,3691,4.272805656147612,0.0003,1047.0404963493347
21,126419,1.6600765100583883,2.236727755588605,0.6271645146282965,0.9977582341783066,0.3728354853717035,0.002241765821693442,94.26708213606001,48,3839,4.209001551991722,0.0003,1158.5143775939941
22,126419,1.6360218131943491,2.2124165923799035,0.6239742809049768,0.9960337989308502,0.37602571909502325,0.0039662010691497995,94.18276766055902,51,4823,4.258579065356096,0.0003,1011.5588409900665
23,126419,1.61636641442821,2.189463130041916,0.6032241940595806,0.9976720124159337,0.3967758059404194,0.002327987584066271,93.81997051908796,52,4778,4.52810829453354,0.0003,1019.8011963367462
24,126419,1.5974969955312546,2.1878776507600937,0.5984142519662075,0.997585790653561,0.40158574803379254,0.002414209346438989,93.70370283987015,50,5098,4.6151922745300915,0.0003,1038.1519668102264
25,126419,1.58707706038483,2.1368793521702454,0.5893387983594037,0.9962924642179686,0.4106612016405963,0.0037075357820314236,93.49309157741537,52,6040,4.755819968960165,0.0003,1098.7495448589325
26,126419,1.5698309616781856,2.139044810589352,0.5984198750150113,0.9959475771684774,0.40158012498498874,0.0040524228315226285,94.05717057879613,48,4585,4.363855837213313,0.0003,982.0431730747223
27,126419,1.559200260012218,2.1260047885012034,0.593991998051356,0.9956026901189861,0.40600800194864395,0.004397309881013944,93.9020692614845,50,5119,4.467408173823073,0.0003,995.9167351722717
28,126419,1.54949802605299,2.105150124915047,0.5878015026287914,0.9956026901189861,0.4121984973712086,0.004397309881013944,93.81355655483823,51,5437,4.54336954647353,0.0003,1105.3266174793243
29,126419,1.5342155759680334,2.088587029906344,0.5654203403816709,0.9968960165545784,0.4345796596183291,0.003103983445421621,93.1424226592529,53,6074,5.0391446801172615,0.0003,1113.9148128032684
30,126419,1.5288087695769135,2.0672132417190174,0.5658481592783428,0.9971546818416969,0.43415184072165725,0.002845318158303134,93.26078945404336,50,5596,4.9494740472495256,0.0003,1062.1974198818207
