epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,3.5680641325417426,3.2246852439953932,0.9661050669803253,1.0,0.03389493301967472,0,99.32598608967325,3,3,1.0,0.0003,2804.4013316631317
2,126419,2.794232897383145,3.0242431327987966,0.8794842358838678,0.9999137782376272,0.12051576411613218,8.622176237282897e-05,98.3448361631302,15,61,2.4556820141403692,0.0003,3477.7669196128845
3,126419,2.0333276345620606,2.75366083124124,0.7813535575261731,0.9997413347128815,0.21864644247382692,0.0002586652871184869,97.71580300522567,40,777,3.3889463700638043,0.0003,2823.5565412044525
4,126419,1.7403284123021723,2.5574693640401542,0.7562575201945815,0.9984480082772892,0.24374247980541852,0.0015519917227108104,97.81355187547655,46,1574,3.2359027418520436,0.0003,3140.4898166656494
5,126419,1.5731458430862282,2.370800083333796,0.6872485212615234,0.9960337989308502,0.31275147873847664,0.0039662010691497995,97.43935153329738,50,4072,3.775995861355406,0.0003,2958.9939880371094
6,126419,1.451883017684924,2.250018422268639,0.6643925602796222,0.9939644766339024,0.33560743972037776,0.006035523366097584,97.43842169862198,52,4506,3.7558199689601657,0.0003,2479.504045009613
7,126419,1.3763253651248204,2.2059888301145274,0.6301194591960857,0.9931022590101741,0.3698805408039143,0.0068977409898258735,97.32794571625165,52,4353,3.932229694774961,0.0003,2123.228134393692
8,126419,1.3241984505377007,2.1182103032251365,0.609635123670974,0.990256940851871,0.39036487632902594,0.009743059148129007,97.08305050861958,57,5581,4.2544404207622,0.0003,2644.388396024704
9,126419,1.2838582764001352,2.086289797275848,0.6296074888201343,0.9866356268322124,0.3703925111798657,0.013364373167787602,97.36967204730999,57,4438,3.8338506639075702,0.0003,2186.281691789627
10,126419,1.2547237897969234,2.0418046374623113,0.556159892292606,0.9956889118813589,0.443840107707394,0.004311088118641115,96.61557612556487,57,5384,4.951284704259355,0.0003,2874.450769662857
11,126419,1.2238395921763394,2.0229943626183124,0.5341709579117384,0.9962062424555957,0.4658290420882616,0.0037937575444042526,96.38189704870474,57,5740,5.303241938265218,0.0003,2371.524892807007
