epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
41,75736,2.0035174086872516,2.1461955400866253,0.5925698626982151,0.9969822383169512,0.4074301373017849,0.003017761683048792,93.18522129342837,57,6370,5.022331436454561,0.0003,599.1845991611481
42,75736,1.9855402487967153,2.146800749886463,0.5869558928134685,0.9967235730298327,0.4130441071865315,0.003276426970167279,93.01962439825353,57,6779,5.138644593895499,0.0003,440.46297430992126
43,75736,1.9690117815349693,2.1416280913287284,0.5856451394222261,0.9971546818416969,0.41435486057777393,0.002845318158303134,92.95326902265178,60,6863,5.182014140369029,0.0003,446.64553666114807
44,75736,1.953776332462796,2.144816420295022,0.5794176203078634,0.9968960165545784,0.42058237969213663,0.003103983445421621,92.53997648990558,55,7579,5.498792895326781,0.0003,436.94435262680054
45,75736,1.939196428670428,2.1840382863667385,0.619763401633815,0.9919813760993275,0.38023659836618495,0.008018623900672539,93.84667593387319,56,6999,4.5268149680979475,0.0003,438.95226979255676
46,75736,1.92407498532929,2.135900082667012,0.5855131685121013,0.9960337989308502,0.41448683148789867,0.0039662010691497995,92.97787532186439,56,7176,5.162269356785653,0.0003,442.1033179759979
47,75736,1.909566346985608,2.1335501769357474,0.5780987339576322,0.9963786859803414,0.4219012660423678,0.0036213140196585947,92.65472814120984,53,7449,5.409725814795655,0.0003,893.3212115764618
48,75736,1.8955554961654573,2.1477510249319156,0.5820934899988424,0.9962062424555957,0.41790651000115764,0.0037937575444042526,92.48528286748517,58,8207,5.535006035523366,0.0003,478.83556270599365
49,75736,1.8818212657424032,2.1510077655808,0.5803717239752899,0.9958613554061045,0.4196282760247101,0.0041386445938954575,92.31035656976528,55,8295,5.663562683221245,0.0003,451.3256061077118
50,75736,1.8729787034025462,2.1349041908568918,0.5767972223253571,0.9972409036040697,0.42320277767464287,0.002759096395930305,92.4916968317349,54,7900,5.52414209346439,0.0003,454.23184156417847
51,75736,1.8578308413791214,2.1351258728458204,0.5838190348171366,0.9931022590101741,0.4161809651828634,0.0068977409898258735,92.66149195805501,56,8649,5.401448525607863,0.0003,450.6454641819
52,75736,1.8429677778021616,2.1449964039910268,0.5809568749618452,0.9946542507328849,0.4190431250381548,0.005345749267115063,92.6675560697093,57,8299,5.389205035350923,0.0003,455.6284284591675
53,75736,1.8324870384842422,2.1479949530819558,0.5752270886798763,0.9968960165545784,0.42477291132012374,0.003103983445421621,92.20481770347428,56,8440,5.719693050525953,0.0003,699.5342214107513
54,75736,1.820105392871449,2.1464884320566475,0.5764805426191746,0.9966373512674599,0.4235194573808254,0.0033626487325401078,92.13239821621823,60,8715,5.784790481117434,0.0003,484.51182413101196
55,75736,1.8084937904170157,2.13592609163815,0.5790081775031802,0.997068460079324,0.42099182249681977,0.002931539920675963,92.58184218382655,58,7966,5.459475771684773,0.0003,449.4307599067688
56,75736,1.798160840601774,2.146049507393325,0.5742255408773078,0.9964649077427142,0.4257744591226922,0.0035350922572857657,91.85951319177519,60,9006,5.984393861010519,0.0003,440.3443446159363
57,75736,1.786695381685506,2.15299721920129,0.5792302587125286,0.9946542507328849,0.42076974128747135,0.005345749267115063,92.00271952084188,58,9416,5.885928608380755,0.0003,447.93363189697266
58,75736,1.7755355060881182,2.134621543332565,0.5740548559263249,0.9968960165545784,0.4259451440736751,0.003103983445421621,92.36155166623129,56,8232,5.617692705638904,0.0003,448.7036406993866
59,75736,1.7635446158853523,2.1501661906886036,0.5877672638622297,0.9916364890498361,0.41223273613777034,0.008363510950163855,92.42697410157852,54,9361,5.561045007759959,0.0003,702.001029253006
60,75736,1.7546462031623509,2.15743184549421,0.5873746709794784,0.9914640455250905,0.4126253290205216,0.008535954474909513,92.59583628764415,57,9300,5.427142610794965,0.0003,435.4986300468445
