epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,2.538626357079518,2.8273894983874865,0.8121361026169883,0.9996551129505087,0.18786389738301168,0.0003448870494913159,96.10275870433257,36,509,2.8814450767373687,0.0003,2422.28461933136
2,126419,1.705858301585368,2.459937304504647,0.6687269353266414,0.9991377823762718,0.3312730646733586,0.0008622176237281787,94.2486565660335,47,2987,4.230556992584928,0.0003,1813.2158296108246
3,126419,1.4615405937050965,2.1418708260722723,0.5737458754645736,0.9979306777030522,0.42625412453542644,0.0020693222969477842,93.05834141881554,48,5652,5.0990688049663735,0.0003,2953.905469417572
4,126419,1.3442261928819277,2.040325576608831,0.5606985708515216,0.9962924642179686,0.43930142914847836,0.0037075357820314236,93.26801974101578,54,5328,4.932747025349198,0.0003,2447.8512568473816
5,126419,1.276453248400291,1.983349919647553,0.5438703575893744,0.9926711501983101,0.4561296424106256,0.007328849801689907,93.09717505690935,50,6397,5.0943266080358685,0.0003,1928.8467738628387
6,126419,1.2190881418113737,1.9536426507408626,0.5386133450165597,0.9956026901189861,0.46138665498344034,0.004397309881013944,93.11431783408591,54,5598,5.078979134333506,0.0003,1299.9199621677399
7,126419,1.167836661415443,1.9095857353578258,0.5169534036862836,0.9941369201586481,0.4830465963137164,0.005863079841351926,92.56633205209538,58,6202,5.471374374892223,0.0003,721.9002511501312
8,126419,1.1206554862644906,1.8791320011963857,0.5077251927069307,0.9938782548715296,0.49227480729306927,0.006121745128470413,92.34954006045453,55,6452,5.646232108984307,0.0003,1093.7465233802795
9,126419,1.0786606459127623,1.8630675878734957,0.5055036059824433,0.9914640455250905,0.49449639401755674,0.008535954474909513,92.41566220099264,55,6669,5.59165373340231,0.0003,722.2433316707611
10,126419,1.0523574445797383,1.861818930334296,0.5033697564611366,0.990774271426108,0.4966302435388634,0.009225728573892034,92.30930701197896,55,6804,5.663993792033109,0.0003,768.3860168457031
