epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,3.2394299846187775,3.0552666449284818,0.845182386905748,1.0,0.15481761309425202,0,98.27353359493122,22,102,2.9870667356440768,0.0003,508.37674474716187
2,126419,1.9050631865798704,2.6726877794160946,0.7631612977459035,0.9997413347128815,0.23683870225409653,0.0002586652871184869,97.97387874867565,38,1581,3.5055181927918606,0.0003,534.191178560257
3,126419,1.6259520850200884,2.4010103194268195,0.635774268366858,0.9991377823762718,0.364225731633142,0.0008622176237281787,97.17214131868066,50,4069,4.875323331608898,0.0003,500.75278782844543
4,126419,1.452725948471772,2.227142850121299,0.5886676759291595,0.9981893429901707,0.4113323240708405,0.0018106570098292973,97.10665878617112,56,4760,4.9037765131919295,0.0003,475.05246782302856
5,126419,1.3541114425610916,2.105439617083623,0.5668385907887129,0.9967235730298327,0.4331614092112871,0.003276426970167279,97.15599494080159,54,4664,4.834885325056044,0.0003,461.8917934894562
6,126419,1.284208130016018,2.027892911827171,0.5425471969896951,0.9976720124159337,0.4574528030103049,0.002327987584066271,97.02787044226126,51,4575,5.090015519917227,0.0003,461.11281967163086
7,126419,1.2264550535785042,1.988249917606731,0.5414598411514021,0.9959475771684774,0.4585401588485979,0.0040524228315226285,97.08228971585365,57,4718,5.005087083979997,0.0003,456.49108695983887
8,126419,1.175500025150747,1.9460451485036494,0.5227615291986414,0.9963786859803414,0.4772384708013586,0.0036213140196585947,96.8943139832616,55,4854,5.315312984997413,0.0003,439.50547528266907
9,126419,1.1335523656384665,1.9226218540589888,0.5198664825929541,0.9946542507328849,0.4801335174070459,0.005345749267115063,96.92426451753727,54,5019,5.278151405414727,0.0003,434.22654271125793
10,126419,1.1082287681126883,1.919218048944578,0.5187386737682185,0.9945680289705121,0.4812613262317815,0.005431971029487892,96.87537687340343,55,5344,5.355664769787895,0.0003,437.50211787223816
