epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,3.8655893206596375,3.049355698155833,0.8313095593766193,1.0,0.16869044062338068,0,99.05816715461526,20,72,3.2634937058113467,0.0003,11079.355636835098
2,126419,2.0823282461899977,2.79240139238127,0.7703198026938677,1.0,0.22968019730613232,0,98.93054408880515,34,512,3.7058113467839284,0.0003,6455.435997962952
3,126419,1.7697664214531903,2.5309876452435502,0.7497783580970622,0.9981031212277979,0.25022164190293783,0.0018968787722021263,99.09063900115108,40,1944,3.1510605276771857,0.0003,5438.361556053162
4,126419,1.5822767793890917,2.365242153733641,0.6439352663258265,0.997585790653561,0.35606473367417346,0.002414209346438989,98.76499987807506,48,3650,4.261683048801517,0.0003,4778.657794952393
5,126419,1.4622495667895807,2.2512318144787797,0.5924983158631206,0.9981893429901707,0.40750168413687937,0.0018106570098292973,98.5612359307327,51,4214,4.92395240558717,0.0003,4343.160488128662
6,126419,1.3788407015414372,2.1714217296013465,0.5857403450718887,0.9967235730298327,0.41425965492811134,0.003276426970167279,98.65332658516108,54,3813,4.574754267977237,0.0003,5086.413695335388
7,126419,1.3173294670668692,2.1012363263538907,0.5619390010289638,0.997068460079324,0.43806099897103623,0.002931539920675963,98.57300541993686,55,4301,4.842041731332989,0.0003,5039.706205129623
8,126419,1.2631722198203508,2.0735357868802415,0.5473704550170182,0.9974133471288154,0.4526295449829818,0.002586652871184647,98.48128800512383,58,4589,5.134247284014485,0.0003,5145.0180060863495
9,126419,1.2236493883224635,2.037341292087848,0.5454253371096535,0.9960337989308502,0.45457466289034654,0.0039662010691497995,98.54160352696508,57,4363,4.961458872219348,0.0003,5100.705860376358
10,126419,1.2014626505886494,2.030916620086838,0.5419946036001251,0.9965511295050871,0.4580053963998749,0.0034488704949129367,98.50781290045501,57,4526,5.078634247284015,0.0003,6736.021444559097
