epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,3.276261263048118,3.043981897961962,0.9133191228786849,1.0,0.08668087712131511,0,98.8176764963556,18,59,2.0456113122952235,0.0003,1163.2005677223206
2,126419,1.966966942013034,2.742189619567368,0.7728171597696017,0.999482669425763,0.22718284023039825,0.0005173305742369738,98.04519191764152,35,931,3.382134850836351,0.0003,2795.2785556316376
3,126419,1.6720005767306818,2.4698559923486396,0.6801583058219285,0.999051560613899,0.3198416941780715,0.0009484393861010076,97.51973695357718,43,3405,4.284445594067943,0.0003,1390.4318010807037
4,126419,1.4947536854367507,2.2566152195354086,0.6163127617369533,0.9973271253664425,0.38368723826304674,0.002672874633557476,97.42863948825949,50,4644,4.42791860665632,0.0003,2048.160913467407
5,126419,1.376472315083631,2.1292331375918545,0.5662602367841849,0.9984480082772892,0.4337397632158151,0.0015519917227108104,97.11313727112261,54,4763,4.957923779962062,0.0003,2736.524165391922
6,126419,1.2945900341035865,2.0549461461685516,0.5535941036119187,0.9966373512674599,0.44640589638808126,0.0033626487325401078,97.15968269377397,56,4593,4.88118641145025,0.0003,1005.8996646404266
7,126419,1.2353803689783884,1.9970877091963213,0.5328403374512118,0.9974133471288154,0.46715966254878816,0.002586652871184647,96.95889949477784,57,4864,5.224693912743576,0.0003,1023.0611317157745
8,126419,1.1845021586307147,1.9563741042063787,0.5242707237366651,0.9954302465942404,0.47572927626333494,0.004569753405759602,96.9539658793148,58,4862,5.2133988618727365,0.0003,869.8476462364197
9,126419,1.1428026933419078,1.9361304686619685,0.5163142692003055,0.9963786859803414,0.48368573079969446,0.0036213140196585947,96.88070916486349,56,5016,5.358941196758062,0.0003,639.1612257957458
10,126419,1.1175792377728682,1.9310045386408712,0.5158612010866015,0.9956889118813589,0.4841387989133985,0.004311088118641115,96.86555947697696,57,5160,5.373598896361441,0.0003,626.6693382263184
