============================================================
HARDWARE DETECTED
Device: cuda
GPU: NVIDIA GeForce RTX 4060 Laptop GPU
PyTorch version: 2.6.0+cu126
============================================================

Found existing training_state.json in outputs\training\tamil\exp_A2_resolution. Loading state...
Auto-resuming weights from checkpoints\recognition\tamil\exp_A2_resolution\latest.pth...

============================================================
Epoch 42/81 | Global Shuffling Experiment
============================================================
[TRAIN] Loaded 17 packets containing 126419 total samples.
[VALIDATION] Loaded 3 packets containing 11598 total samples.
Total Packets: 17
Total Training Samples: 126419
Batch Size: 32
Number of Batches: 3951
Shuffle: True
Experiment Name: exp_A2_resolution
============================================================


Verifying model forward/backward pass...
============================================================
VERIFYING ONE BATCH BEFORE TRAINING
============================================================
Images shape: torch.Size([32, 1, 32, 219])
Targets shape: torch.Size([216])
Target lengths shape: torch.Size([32])
Actual widths shape: torch.Size([32])
Number of unique packets in this batch: 14
Outputs shape: torch.Size([32, 54, 78])
CTC Loss: 0.5359
First label decoded: 'தீ'
Verification PASSED. Starting training loop...

Verification successful. Starting training...

  Batch 1/3951 | Loss: 0.6344 | Samples: 32 | Time: 0.7s | Speed: 46.9 samples/s
  Batch 11/3951 | Loss: 0.5519 | Samples: 352 | Time: 5.2s | Speed: 68.2 samples/s
  Batch 21/3951 | Loss: 0.4507 | Samples: 672 | Time: 9.5s | Speed: 71.0 samples/s
  Batch 31/3951 | Loss: 0.4303 | Samples: 992 | Time: 13.9s | Speed: 71.3 samples/s
  Batch 41/3951 | Loss: 0.5735 | Samples: 1312 | Time: 18.5s | Speed: 71.1 samples/s
  Batch 51/3951 | Loss: 0.7220 | Samples: 1632 | Time: 22.8s | Speed: 71.7 samples/s
  Batch 61/3951 | Loss: 0.5798 | Samples: 1952 | Time: 27.4s | Speed: 71.4 samples/s
  Batch 71/3951 | Loss: 0.4960 | Samples: 2272 | Time: 32.4s | Speed: 70.2 samples/s
  Batch 81/3951 | Loss: 0.3442 | Samples: 2592 | Time: 37.2s | Speed: 69.7 samples/s
  Batch 91/3951 | Loss: 0.5088 | Samples: 2912 | Time: 41.3s | Speed: 70.6 samples/s
  Batch 101/3951 | Loss: 0.4907 | Samples: 3232 | Time: 45.7s | Speed: 70.7 samples/s
  Batch 111/3951 | Loss: 0.4787 | Samples: 3552 | Time: 50.4s | Speed: 70.5 samples/s
  Batch 121/3951 | Loss: 0.3983 | Samples: 3872 | Time: 54.8s | Speed: 70.6 samples/s
  Batch 131/3951 | Loss: 0.6262 | Samples: 4192 | Time: 59.4s | Speed: 70.6 samples/s
  Batch 141/3951 | Loss: 0.5395 | Samples: 4512 | Time: 64.2s | Speed: 70.2 samples/s
  Batch 151/3951 | Loss: 0.3725 | Samples: 4832 | Time: 68.7s | Speed: 70.3 samples/s
  Batch 161/3951 | Loss: 0.4224 | Samples: 5152 | Time: 73.2s | Speed: 70.4 samples/s
  Batch 171/3951 | Loss: 0.4754 | Samples: 5472 | Time: 78.0s | Speed: 70.1 samples/s
  Batch 181/3951 | Loss: 0.4548 | Samples: 5792 | Time: 82.9s | Speed: 69.9 samples/s
  Batch 191/3951 | Loss: 0.5302 | Samples: 6112 | Time: 87.4s | Speed: 69.9 samples/s
  Batch 201/3951 | Loss: 0.5420 | Samples: 6432 | Time: 91.4s | Speed: 70.4 samples/s
  Batch 211/3951 | Loss: 0.6681 | Samples: 6752 | Time: 96.2s | Speed: 70.2 samples/s
  Batch 221/3951 | Loss: 0.4767 | Samples: 7072 | Time: 100.5s | Speed: 70.4 samples/s
  Batch 231/3951 | Loss: 0.6398 | Samples: 7392 | Time: 104.7s | Speed: 70.6 samples/s
  Batch 241/3951 | Loss: 0.6291 | Samples: 7712 | Time: 109.2s | Speed: 70.6 samples/s
  Batch 251/3951 | Loss: 0.5371 | Samples: 8032 | Time: 113.6s | Speed: 70.7 samples/s
  Batch 261/3951 | Loss: 0.5141 | Samples: 8352 | Time: 118.5s | Speed: 70.5 samples/s
  Batch 271/3951 | Loss: 0.5300 | Samples: 8672 | Time: 122.9s | Speed: 70.6 samples/s
  Batch 281/3951 | Loss: 0.4888 | Samples: 8992 | Time: 127.3s | Speed: 70.6 samples/s
  Batch 291/3951 | Loss: 0.3580 | Samples: 9312 | Time: 131.4s | Speed: 70.9 samples/s
  Batch 301/3951 | Loss: 0.5620 | Samples: 9632 | Time: 136.0s | Speed: 70.8 samples/s
  Batch 311/3951 | Loss: 0.5119 | Samples: 9952 | Time: 140.4s | Speed: 70.9 samples/s
  Batch 321/3951 | Loss: 0.6420 | Samples: 10272 | Time: 145.1s | Speed: 70.8 samples/s
  Batch 331/3951 | Loss: 0.5449 | Samples: 10592 | Time: 149.8s | Speed: 70.7 samples/s
  Batch 341/3951 | Loss: 0.8748 | Samples: 10912 | Time: 154.4s | Speed: 70.7 samples/s
  Batch 351/3951 | Loss: 0.5551 | Samples: 11232 | Time: 158.8s | Speed: 70.7 samples/s
  Batch 361/3951 | Loss: 0.8172 | Samples: 11552 | Time: 163.1s | Speed: 70.8 samples/s
  Batch 371/3951 | Loss: 0.5766 | Samples: 11872 | Time: 167.5s | Speed: 70.9 samples/s
